Year,valuation,Long,Lat
2023,100,-7918722.92,42.2776894
2022,600,-7919663.291,42.27770414
2022,3600,-7916905.856,42.25547012
2011,600,-7914912.26,42.27314677
2023,3600,-7915982.325,42.3115572
2017,800,-7922298.235,42.29232348
2013,1000,-7913023.605,42.30480023
2016,18700,-7910180.869,42.3171919
2017,1,-7910281.317,42.31811648
2017,3250,-7910044.1,42.31486871
2023,141000,-7916304.503,42.31429327
2015,20400,-7909613.271,42.31199189
2011,1050,-7912586.32,42.32246317
2020,375,-7917406.648,42.29303685
2013,2060,-7919920.921,42.27573323
2022,1,-7912225.448,42.35054974
2013,183.2,-7909103.3,42.33308952
2011,1400,-7908527.101,42.33240269
2019,15000,-7911451.14,42.32896064
2022,8500,-7912362.442,42.30909284
2021,14400,-7910154.541,42.31394862
2018,1800,-7910211.28,42.31251592
2023,21350,-7910138.961,42.31711578
2017,650,-7919220.937,42.27697406
2017,950,-7912277.784,42.3085563
2023,1500,-7922716.415,42.26857161
2022,6000,-7916658.161,42.26319907
2016,4000,-7922125.166,42.29374424
2019,500,-7910411.712,42.3151564
2013,500,-7910469.467,42.3123407
2011,7997,-7913400.096,42.2820941
2019,28500,-7912056.394,42.3540662
2023,21000,-7912509.694,42.3520717
2019,10000,-7909077.341,42.33171137
2024,3500,-7911720.196,42.28010239
2022,26750,-7911763.14,42.2807434
2023,75000,-7912156.138,42.30982664
2023,2593,-7910316.389,42.31494641
2018,21926,-7910430.859,42.3129224
2012,2500,-7918948.636,42.34877172
2019,6500,-7918597.039,42.3509736
2013,0,-7911985.926,42.30391283
2016,500,-7918479.522,42.24350414
2021,900,-7907859.697,42.38217639
2021,2000,-7920107.873,42.29282384
2019,100,-7911950.745,42.32582956
2018,1000,-7910416.038,42.31358932
2019,600,-7910387.306,42.31094025
2022,9887.04,-7911319.974,42.27868903
2023,1000,-7913035.84,42.30483736
2018,500,-7907077.237,42.38058219
2016,4000,-7912132.25,42.30325782
2022,500,-7910271.423,42.31448145
2020,3200,-7919747.469,42.29086688
2022,195,-7912116.218,42.31210826
2023,58000,-7922020.673,42.29303068
2018,43900,-7917236.755,42.28770208
2020,1500,-7918066.509,42.28917581
2022,1000,-7906889.897,42.33767657
2022,22750,-7910284.723,42.31237738
2011,863.2,-7916826.651,42.30613851
2021,500,-7916490.435,42.308863
2023,10020.82,-7915977.103,42.30914059
2023,1597.4,-7912067.09,42.31044112
2022,2000,-7912778.744,42.27951185
2020,500,-7917604.783,42.28681486
2016,22500,-7916103.933,42.33198314
2016,17800,-7911553.775,42.29790132
2015,13500,-7910831.046,42.29781929
2023,1670,-7912999.535,42.31798263
2024,170,-7921046.232,42.29007209
2022,500,-7920605.502,42.28962609
2018,846,-7919811.706,42.29216355
2020,3000,-7916876.903,42.29462444
2024,6200,-7910998.387,42.31967266
2017,2638,-7910621.836,42.3119313
2017,3404.99,-7911478.025,42.30719132
2023,350,-7913000.813,42.34879578
2016,1200,-7910813.179,42.31345138
2024,10824,-7920340.8,42.28943259
2011,6907.6,-7910328.341,42.31809594
2014,43000,-7910654.389,42.31855305
2014,400,-7910383.106,42.31877989
2023,15250,-7910773.187,42.31251815
2023,600,-7915967.396,42.31995749
2016,953000,-7913654.927,42.31621493
2023,3000,-7913146.171,42.31529655
2020,1300,-7912366.475,42.31189448
2015,0,-7907424.515,42.37790032
2021,0,-7915616.78,42.30977803
2021,165,-7912734.354,42.27858862
2015,2300,-7916364.453,42.31258318
2016,800,-7916640.153,42.30042791
2011,3607,-7917049.454,42.28763523
2021,25000,-7911599.496,42.32510578
2012,0,-7912554.696,42.31053
2010,150,-7911978.439,42.30919988
2020,16000,-7907112.381,42.33642077
2011,7500,-7910723.271,42.31323627
2019,6000,-7915902.724,42.30861455
2023,5000,-7911404.029,42.27476641
2023,56000,-7912314.385,42.30877843
2019,600,-7912160.963,42.31278404
2023,15000,-7916348.196,42.29911891
2018,12000,-7917249.47,42.2849947
2016,40000,-7907849.397,42.38217632
2018,8000,-7919131.683,42.28903133
2022,200,-7918671.171,42.28614204
2015,6500,-7912340.201,42.27214132
2023,35000,-7912256.332,42.2717357
2017,900,-7908543.526,42.33442741
2012,900,-7910910.471,42.31354682
2020,750,-7910185.405,42.31820923
2019,28160,-7910910.397,42.31650014
2022,2835.35,-7911271.569,42.29616625
2021,7775,-7916079.485,42.33099402
2015,1800,-7916068.818,42.33219592
2012,600,-7911296.255,42.29728128
2024,1500,-7910700.815,42.29776085
2023,410,-7911792.476,42.27827799
2016,900,-7911752.032,42.28120122
2019,200,-7912631.343,42.31008305
2018,5000,-7912661.284,42.31020269
2020,2500,-7909801.375,42.31017447
2024,14000,-7915178.643,42.32768972
2020,22500,-7922100.701,42.29236135
2021,9000,-7907996.985,42.38180332
2011,5000,-7915199.125,42.27033104
2024,1500,-7914970.914,42.2703578
2022,8500,-7917658.331,42.29039174
2020,9300,-7919412.209,42.27986228
2018,199,-7914696.443,42.28001127
2022,8000,-7914304.446,42.27748713
2012,31500,-7912186.266,42.28666629
2017,4200,-7911115.372,42.30993289
2023,900,-7918769.16,42.35967406
2013,6600,-7918221.633,42.36261891
2017,800,-7921956.83,42.35398223
2016,9810,-7913360.407,42.27718962
2017,11000,-7912287.184,42.31091379
2022,139400,-7917827.862,42.28840828
2013,7050,-7912238.024,42.31140813
2013,10000,-7906511.595,42.33656426
2013,3000,-7916221.545,42.30622751
2019,150,-7922491.333,42.2897092
2018,5000,-7922277.79,42.28901249
2016,13125,-7917989.198,42.29168565
2019,2000,-7910076.228,42.31329662
2021,7300,-7917211.577,42.31137467
2023,2000,-7922632.103,42.28578495
2014,3800,-7913434.191,42.28056348
2023,11500,-7913176.302,42.27977497
2016,500,-7917196.326,42.29338611
2011,7500,-7917291.124,42.29352038
2018,500,-7912797.736,42.3517631
2023,3000,-7912454.26,42.31089178
2024,70000,-7921997.688,42.29281905
2021,2500,-7922755.53,42.27015062
2016,1000,-7910307.049,42.29960755
2021,2000,-7909791.122,42.30126151
2021,2500,-7909311.377,42.2944113
2024,3949.94,-7907945.771,42.38007925
2022,11555.4,-7917274.561,42.2906179
2017,850,-7912516.199,42.30470656
2017,5000,-7911684.618,42.27871867
2023,5000,-7911802.78,42.28207466
2019,26500,-7918203.657,42.3491482
2024,14642,-7907805.564,42.37998241
2023,113271,-7919389.121,42.34454275
2021,22300,-7920303.909,42.28808384
2018,2500,-7912591.096,42.30521314
2019,5837.63,-7910700.804,42.31700383
2014,7500,-7910104.547,42.31808187
2014,1114,-7922396.246,42.28967196
2021,500,-7920988.779,42.29257552
2017,6000,-7916416.733,42.28990849
2011,1000,-7916092.713,42.31117894
2012,600,-7911308.439,42.29854644
2019,16050,-7912254.181,42.3144167
2023,51010,-7913718.941,42.3132982
2024,500,-7911626.166,42.27995602
2023,1000,-7911559.893,42.28006731
2024,1500,-7910080.301,42.31703732
2022,400,-7918760.304,42.34665878
2023,14000,-7915950.522,42.30866359
2012,15800,-7913494.548,42.31651376
2019,1978,-7913282.809,42.31561684
2020,21592.02,-7907993.237,42.37972791
2017,3500,-7907956.799,42.37954808
2023,2884.12,-7916062.683,42.31154621
2015,200,-7918020.596,42.28712449
2015,1000,-7916532.336,42.30006321
2023,16500,-7912517.75,42.31111854
2013,250,-7912267.099,42.31325689
2023,153817,-7919506.642,42.27996684
2021,7500,-7910933.016,42.29768456
2018,5000,-7912720.546,42.31043638
2024,1600,-7911835.592,42.30300072
2019,22414,-7919271.817,42.34656144
2023,36000,-7919302.275,42.34563352
2021,11800,-7912003.094,42.28721587
2024,700000,-7913319.508,42.31491206
2014,15100,-7913920.177,42.31062484
2018,4137.52,-7916294.711,42.31259171
2022,14000,-7916110.772,42.31220704
2017,9600,-7917277.336,42.29344559
2015,1350,-7911291.479,42.31447704
2013,100,-7911434.059,42.30628229
2014,1000,-7911377.201,42.30749074
2018,11000,-7912971.222,42.30662481
2024,145000,-7909100.459,42.330817
2022,20000,-7915923.805,42.31157638
2022,20607,-7916433.006,42.30871257
2020,10000,-7911400.815,42.2775194
2022,3000,-7911130.27,42.29612674
2019,35000,-7910650.471,42.31499447
2017,1000,-7912337.584,42.31311491
2022,500,-7912931.77,42.30489995
2022,11000,-7907922.92,42.38217714
2015,5800,-7907778.425,42.3821758
2024,29179,-7916952.892,42.28133533
2014,3200,-7907713.811,42.38022593
2021,8100,-7916065.74,42.25308118
2010,1000,-7906727.788,42.33598752
2024,6500,-7912221.327,42.2753589
2021,24766.11,-7910544.998,42.31285539
2020,7500,-7913075.189,42.35159128
2020,192000,-7920534.336,42.29222648
2021,3000,-7921061.581,42.29136591
2020,5000,-7916547.411,42.30001929
2024,10000,-7907091.106,42.38045839
2017,800,-7910084.855,42.31829424
2010,37000,-7910023.688,42.3159933
2021,530.82,-7911584.693,42.30664489
2018,64335,-7918933.735,42.34900955
2020,12200,-7912768.526,42.35270754
2019,400,-7910060.322,42.31368191
2024,22862.99,-7916359.758,42.31239189
2015,12000,-7921024.694,42.29170833
2017,199,-7917334.131,42.29050841
2018,2000,-7912495.522,42.31075231
2022,15000,-7912023.434,42.31184236
2022,1500,-7920804.851,42.28747603
2012,2100,-7907951.154,42.37942464
2016,0,-7915169.769,42.33343141
2023,13500,-7918708.839,42.29316245
2020,20000,-7912529.696,42.32923121
2024,15000,-7911605.577,42.27267811
2014,0,-7910075.826,42.31538579
2017,4670.04,-7911657.497,42.29720728
2020,11500,-7912439.645,42.28362235
2011,2000,-7920525.552,42.28820069
2017,30000,-7915308.671,42.3313412
2010,0,-7907928.006,42.38081997
2013,3000,-7910276.096,42.31264354
2021,5600,-7922162.617,42.29246069
2024,4000,-7916178.75,42.30708421
2018,250,-7916517.898,42.30010717
2012,7905,-7913302.755,42.28339319
2018,3500,-7920968.523,42.35151593
2021,250,-7921104.119,42.35352639
2023,3500,-7921048.477,42.35440046
2014,2000,-7920067.528,42.33775997
2020,7000,-7916649.285,42.25976532
2012,4000,-7916125.342,42.26546989
2015,9000,-7921859.259,42.29345454
2023,4000,-7910902.527,42.31519275
2019,13437.45,-7910160.675,42.31553152
2024,2500,-7910693.69,42.31638359
2023,11500,-7919100.557,42.2880401
2023,1200,-7912470.421,42.31134462
2024,8500,-7910134.072,42.31777654
2024,9500,-7922605.547,42.26926348
2014,2600,-7911723.882,42.27865515
2021,2500,-7912759.445,42.31042906
2020,300,-7912706.102,42.31037737
2010,1000,-7910606.642,42.31622293
2022,24059.28,-7917973.134,42.26923778
2017,7491.83,-7917055.191,42.26379671
2014,2400,-7913134.596,42.34871101
2018,5000,-7907990.978,42.37985357
2022,1000,-7916148.832,42.31275856
2022,18144,-7917482.758,42.29234914
2020,800,-7914721.732,42.27846979
2022,49000,-7915806.35,42.27432077
2015,2295,-7916303.39,42.31348861
2023,500,-7915867.762,42.31634695
2013,3800,-7910447.542,42.3153502
2022,16000,-7910740.244,42.31611194
2021,1500,-7910366.266,42.31038286
2017,1000,-7922236.73,42.29304049
2017,500,-7922542.495,42.26926723
2015,90,-7911997.102,42.28687108
2016,5500,-7916689.166,42.28843911
2019,8000,-7916865.11,42.28629752
2013,2000,-7911281.644,42.27271713
2013,1500,-7920622.98,42.29193365
2015,1200,-7920988.086,42.28968534
2023,15200,-7910560.141,42.31527601
2010,5280,-7918532.239,42.29259306
2022,742,-7916405.607,42.31082491
2023,12471,-7913444.39,42.34980569
2021,188500,-7919978.801,42.28929153
2011,4750,-7917957.454,42.28801227
2018,500,-7917118.67,42.28700533
2022,10900,-7911710.449,42.32766692
2021,9000,-7910107.496,42.31389012
2010,18000,-7915906.52,42.31715777
2011,1000,-7916360.056,42.31398321
2021,500,-7910290.654,42.3131756
2016,16000,-7910736.493,42.31227855
2021,44000,-7914101.347,42.31289637
2023,12637,-7913851.103,42.31260921
2020,2000,-7917366.982,42.2806402
2018,5000,-7919039.493,42.29168249
2023,25000,-7916550.826,42.24932048
2023,4500,-7911903.12,42.27162726
2018,450,-7910495.45,42.31571125
2018,1200,-7910531.739,42.31717071
2013,7800,-7910643.977,42.31392378
2013,900,-7916987.831,42.31112336
2017,0,-7916502.549,42.28985869
2023,600,-7913433.962,42.27113299
2018,69833,-7918180.409,42.28780647
2022,3000,-7915401.385,42.33207306
2020,800,-7912874.759,42.35157848
2023,39710,-7913615.628,42.31465093
2013,4480,-7920237.467,42.29147397
2012,17000,-7918009.274,42.28906531
2020,15761.14,-7919845.976,42.283226
2016,400,-7912019.147,42.30360262
2022,10000,-7913964.9,42.31077659
2016,2710,-7919951.384,42.28517428
2020,7000,-7912478.637,42.28136746
2011,1311,-7907931.129,42.33539504
2017,500,-7916219.724,42.29785555
2023,500,-7911300.29,42.27589017
2017,200,-7911523.705,42.31586807
2017,30100,-7911529.72,42.31574949
2022,186,-7916354.666,42.31303875
2013,2935.77,-7910337.941,42.31080407
2024,26685.75,-7911727.135,42.27730653
2013,42920,-7910301.67,42.31577412
2015,28400,-7910798.536,42.31267829
2015,200,-7911647.182,42.28742654
2020,14500,-7912692.154,42.30661277
2015,13516,-7916142.7,42.31012069
2023,1500,-7917937.406,42.28718449
2010,8000,-7907984.817,42.38156229
2017,15438,-7907947.657,42.38156172
2017,600,-7922048.799,42.29001998
2022,500,-7913314.199,42.28259911
2022,3500,-7916305.563,42.30999528
2023,2500,-7916387.854,42.30976242
2013,0,-7916256.446,42.31187601
2011,1500,-7912046.968,42.31152913
2010,350,-7912938.941,42.30571907
2023,18173.48,-7913784.61,42.31624346
2024,0,-7910149.583,42.30997249
2016,13521,-7919062.293,42.29227657
2019,5500,-7916075.166,42.31196412
2021,2000,-7910343.913,42.3123163
2011,6500,-7916754.119,42.3095502
2020,9000,-7922412.15,42.29022474
2023,9000,-7917222.684,42.29352539
2023,14400,-7917689.65,42.29008661
2013,20000,-7911568.052,42.3303311
2018,2964.38,-7915571.876,42.31672003
2023,950,-7922019.178,42.29519737
2016,47720,-7919643.885,42.28199755
2012,4582.88,-7912562.013,42.31125596
2016,9000,-7912462.376,42.30715956
2010,9730,-7919699.331,42.28157279
2020,7026.35,-7916677.169,42.26347279
2016,933,-7914718.596,42.27172616
2022,500,-7913200.437,42.31805828
2018,1500.01,-7910235.184,42.31404592
2018,15820,-7910324.392,42.31688997
2018,2000,-7910296.45,42.31206322
2013,10000,-7909714.125,42.31925349
2024,34577.71,-7907470.083,42.36519326
2016,750,-7917571.882,42.2911881
2021,1000,-7912399.426,42.35323114
2022,6400,-7910957.765,42.29743863
2020,60000,-7911777.303,42.3557095
2013,0,-7908423.746,42.33106055
2014,5900,-7909077.573,42.33177305
2022,15000,-7906980.177,42.33605702
2012,9500,-7912845.7,42.30636995
2019,2651,-7912080.78,42.3042891
2020,850,-7916214.079,42.3090981
2022,3000,-7914280.296,42.27782053
2015,4384.09,-7912459.195,42.31368669
2018,3000,-7912284.953,42.30859959
2020,2500,-7919151.411,42.3477186
2016,8176,-7919909.659,42.2792568
2019,4700,-7919726.379,42.28227043
2018,4500,-7916244.863,42.31067452
2012,40000,-7917742.597,42.28922296
2020,9926.96,-7912735.635,42.30757188
2019,3000,-7912080.081,42.30955729
2017,900,-7910416.982,42.31902994
2022,5500,-7910156.209,42.31679151
2012,9000,-7910193.479,42.31764896
2021,1000,-7916104.852,42.31927348
2022,5510,-7909971.191,42.3189771
2018,3885,-7909933.997,42.3191812
2015,12385,-7919598.954,42.28184201
2019,15500,-7911058.999,42.29920659
2012,10000,-7913335.791,42.28313039
2023,20,-7912649.539,42.34988946
2023,37980,-7915376.869,42.27038944
2023,369800,-7916344.964,42.30879169
2023,25582,-7915896.934,42.30885378
2011,2000,-7912730.233,42.31088392
2020,1000,-7912476.935,42.31287366
2019,1335,-7911910.254,42.30941781
2010,7500,-7917593.234,42.28983312
2023,29565,-7918076.559,42.35163134
2019,20000,-7916172.482,42.31104216
2020,450,-7917609.516,42.25304934
2024,500,-7913558.345,42.35079397
2019,5000,-7913142.585,42.35133921
2020,15000,-7913572.818,42.28328577
2021,82800,-7913620.775,42.28398912
2020,500,-7913081.94,42.3154766
2024,24000,-7913758.516,42.31761587
2014,400,-7911993.111,42.30924983
2016,13949,-7913026.191,42.30447217
2022,16000,-7909721.462,42.31454126
2024,4000,-7920454.462,42.29129455
2018,332000,-7913423.996,42.31714839
2022,300,-7922155.553,42.29396133
2018,11900,-7917668.67,42.29029259
2022,1500,-7918073.929,42.29226175
2016,6752,-7917451.487,42.29265633
2017,350,-7916139.799,42.30558043
2020,3500,-7916373.783,42.30614442
2020,16300,-7913597.963,42.31841757
2021,2000,-7912472.631,42.30521664
2022,33800,-7911526.52,42.30122357
2014,13500,-7910917.582,42.30144348
2019,400,-7911680.736,42.28014494
2012,2502.44,-7911929.078,42.27895955
2022,60000,-7915595.042,42.33166932
2024,21012.01,-7909799.534,42.31465513
2013,500,-7909787.852,42.31357284
2018,18000,-7919123.742,42.34709249
2023,1800000,-7920002.088,42.28564715
2015,27000,-7914341.594,42.27567408
2012,20850,-7914941.549,42.27624466
2018,698725,-7915113.243,42.33326139
2019,500,-7911416.792,42.30078748
2023,0,-7910804.556,42.31965597
2023,28500,-7910923.111,42.31382511
2010,4644,-7910858.586,42.30133068
2023,9300,-7915962.917,42.31606646
2012,3000,-7916159.688,42.31724568
2023,26850,-7919385.394,42.34556584
2021,3000,-7913121.631,42.35097678
2019,239000,-7912119.87,42.30392107
2022,850,-7913595.115,42.31606651
2015,19000,-7911973.789,42.31090204
2017,20000,-7912775.493,42.30508202
2020,17900,-7916055.636,42.31105243
2017,6000,-7912130.99,42.28284133
2018,16649,-7916148.397,42.30679728
2016,300,-7917973.213,42.24891841
2017,21900,-7911174.75,42.27762963
2011,1600,-7911430.418,42.27347775
2014,400,-7916230.269,42.26141952
2015,6000,-7920303.001,42.28968495
2015,324,-7911001.396,42.29935777
2015,500,-7913315.116,42.32658979
2011,2916.48,-7913164.943,42.32047815
2019,19900,-7908317.393,42.33203921
2012,140000,-7908703.806,42.33161136
2021,14175,-7911676.509,42.28045075
2020,2880,-7911598.614,42.28022904
2010,5000,-7918839.617,42.34915327
2022,7100.43,-7912598.709,42.35224825
2024,10000,-7912693.174,42.3528904
2021,13350,-7912769.79,42.30734645
2023,600,-7912533.664,42.31314217
2023,46170,-7912809.185,42.27898261
2021,8000,-7912907.167,42.2806981
2014,5953,-7918307.433,42.29003108
2023,800,-7915701.988,42.32844264
2021,8400,-7906652.446,42.33468194
2018,250,-7911646.148,42.28716216
2023,10837,-7911833.782,42.28762671
2015,55000,-7908525.128,42.33429646
2023,150000,-7918484.531,42.29234673
2020,1200,-7907266.01,42.38025272
2019,32000,-7912679.109,42.32527358
2023,10980,-7915105.3,42.32668561
2020,1895,-7907266.026,42.3325321
2020,10000,-7913424.88,42.31326063
2015,2500,-7911478.762,42.30640861
2023,1500,-7919974.205,42.34010943
2023,36500,-7919890.799,42.34062475
2018,500,-7914676.094,42.27785749
2023,2500,-7914507.263,42.27896874
2020,37650,-7908411.173,42.33203025
2022,10206,-7912140.94,42.30399374
2022,65000,-7910090.38,42.31616631
2019,15550,-7910172.16,42.31629507
2017,0,-7906839.684,42.38095733
2023,39260,-7911970.173,42.27842809
2022,51000,-7912186.61,42.3075196
2013,6500,-7916076.263,42.3106127
2023,540239,-7917781.293,42.35030671
2022,11338,-7912880.6,42.3502209
2024,7000,-7907725.377,42.37252295
2023,5000,-7911056.018,42.29644686
2019,150,-7911701.014,42.27667418
2023,100,-7912834.869,42.35033386
2015,0,-7921270.811,42.29468899
2016,1000,-7921128.772,42.29453897
2018,6200,-7917860.781,42.31322182
2022,165,-7922729.732,42.26878649
2012,7320,-7913363.86,42.2849502
2023,130000,-7913398.501,42.28260173
2019,1000,-7913336.87,42.28523622
2018,1738.42,-7911846.622,42.31241818
2023,3100,-7911835.447,42.31237446
2019,1978,-7913643.478,42.3198951
2014,200,-7907143.354,42.33635413
2022,3516,-7911725.919,42.27977721
2023,30395,-7916642.346,42.300025
2010,2247,-7917189.923,42.29315812
2019,11675,-7911818.265,42.31386865
2015,14800,-7911363.914,42.28551292
2023,1569417.6600000001,-7913933.54,42.32039531
2018,1400,-7912610.29,42.32564942
2024,7491717,-7912571.857,42.34970536
2019,839.9,-7913328.282,42.31855199
2024,2400,-7911757.85,42.35489158
2020,2000,-7919398.109,42.29169814
2012,3000,-7920343.747,42.29129844
2018,300000,-7913358.626,42.28292233
2010,200,-7912525.29,42.31267963
2011,1200,-7916559.364,42.2862664
2017,3000,-7912220.16,42.31216502
2016,2000,-7914074.132,42.31312464
2016,0,-7914191.594,42.27724513
2023,6250,-7916211.416,42.31062594
2017,3000,-7910706.636,42.3000976
2014,15000,-7919288.88,42.34697541
2022,76087,-7912845.07,42.35126113
2014,500,-7917498.176,42.27870204
2022,177842,-7917722.268,42.27939329
2023,1100,-7918443.077,42.34775809
2012,1000,-7917607.412,42.35116467
2018,15945,-7912565.793,42.30939932
2012,4000,-7912426.442,42.30892213
2018,4000,-7912443.036,42.31360426
2012,6352,-7911787.509,42.31105995
2010,500,-7912828.953,42.30518786
2018,6960,-7917738.998,42.30876876
2021,1450,-7917688.292,42.30873263
2023,700,-7912233.697,42.31331609
2019,2000,-7914860.708,42.32685391
2017,2100,-7915755.128,42.32465045
2018,143008,-7919065.42,42.34393797
2015,41673,-7915021.36,42.26909212
2022,5000,-7918262.777,42.30384434
2024,6000,-7918098.56,42.30547162
2022,1000,-7919995.171,42.35971565
2023,24000,-7911765.784,42.35202696
2023,4000,-7920024.678,42.28479393
2016,2000,-7919663.636,42.27864517
2023,55135,-7913422.908,42.34891323
2019,1000,-7916640.492,42.28764076
2017,5500,-7911688.774,42.30013354
2022,16500,-7911505.699,42.30198611
2021,36357.82,-7912957.284,42.2830212
2022,2000,-7920166.462,42.29141239
2021,3359.67,-7920599.365,42.28823566
2023,2595.87,-7916584.586,42.26682572
2020,9100,-7915957.514,42.26317329
2021,25000,-7913113.887,42.30373366
2023,1850,-7917402.881,42.2807537
2016,34000,-7911391.778,42.32933354
2014,4900,-7909331.764,42.28835816
2023,2200,-7912168.993,42.32116842
2014,3755,-7911043.494,42.31655427
2022,7125,-7916257.298,42.30661561
2013,600,-7910719.172,42.29986792
2023,0,-7916130.226,42.31326498
2022,4000,-7913940.194,42.33081698
2019,10000,-7911453.672,42.30109314
2011,100,-7911339.81,42.2760749
2019,458342,-7908091.457,42.38224992
2011,100,-7912858.315,42.30482776
2017,35500,-7907997.354,42.37061079
2017,158,-7909069.075,42.33282785
2023,17501,-7909121.097,42.33201907
2020,300,-7909041.718,42.33280648
2020,1889,-7913049.934,42.30399917
2021,1175,-7910502.978,42.31974121
2020,556,-7917815.159,42.25043325
2022,3868,-7907991.807,42.38091999
2015,12000,-7909975.113,42.31402439
2024,9600,-7917910.689,42.2904133
2014,1000,-7910669.522,42.31902506
2018,1000,-7911260.917,42.27299631
2010,45000,-7912835.027,42.34932758
2023,6000,-7910751.134,42.31586997
2021,4500,-7919714.442,42.2920215
2017,7000,-7919409.339,42.29291556
2023,800,-7913013.081,42.30374996
2023,600,-7912628.277,42.31123089
2016,1000,-7922068.994,42.29290344
2011,1075,-7917136.114,42.28739557
2014,3847.69,-7912984.527,42.30409925
2023,500,-7911817.476,42.31209185
2022,9000,-7910198.203,42.30887474
2022,34950,-7915627.602,42.33105509
2024,15000,-7915946.904,42.30876992
2021,7338,-7915569.281,42.30805478
2023,23450,-7912056.589,42.31006836
2020,2000,-7910420.618,42.31827633
2023,32250,-7907807.537,42.3803872
2023,850,-7911350.512,42.29800608
2023,2500,-7919653.558,42.28904407
2023,2500,-7907935.284,42.38156145
2011,500,-7911072.381,42.31786538
2022,200,-7910759.136,42.31243446
2014,3006,-7913073.473,42.31401589
2023,3000,-7922091.496,42.29465847
2018,19000,-7916839.968,42.29483697
2022,1700,-7917060.236,42.29045293
2016,14000,-7913440.958,42.28558906
2012,2000,-7919286.591,42.27963068
2014,400,-7921185.372,42.35045232
2023,4000,-7920991.612,42.35107341
